id_avaliacao,avaliacao_dificuldade_fg,avaliacao_dificuldade_ce,avaliacao_equipamentos,avaliacao_ambiente
479,Médio,Fácil,Concordo totalmente,Concordo
480,Médio,Difícil,Concordo,Não sei responder
481,Médio,Difícil,Concordo,Discordo parcialmente
482,Muito fácil,Difícil,Discordo totalmente,Discordo
483,Fácil,Médio,Concordo,Concordo parcialmente
484,Médio,Médio,Concordo,Não sei responder
485,Difícil,Médio,Discordo parcialmente,Concordo
486,Muito fácil,Fácil,Concordo totalmente,Concordo totalmente
487,Muito difícil,Muito difícil,Concordo,Discordo parcialmente
488,Médio,Fácil,Discordo parcialmente,Discordo parcialmente
489,Fácil,Difícil,Discordo parcialmente,Discordo parcialmente
490,Muito difícil,Médio,Concordo,Concordo parcialmente
491,Médio,Difícil,Concordo,Não se aplica
492,Fácil,Médio,Concordo totalmente,Discordo
493,Fácil,Resposta anulada,Discordo,Discordo
494,Difícil,Médio,Discordo totalmente,Não se aplica
495,Difícil,Médio,Discordo,Concordo parcialmente
496,Médio,Difícil,Discordo parcialmente,Concordo
497,Muito fácil,Difícil,Discordo parcialmente,Discordo totalmente
498,Médio,Muito difícil,Concordo parcialmente,Concordo
499,Médio,Fácil,Concordo parcialmente,Discordo parcialmente
500,Difícil,Muito difícil,Discordo,Discordo parcialmente
501,Fácil,Médio,Não se aplica,Concordo
502,Muito difícil,Muito difícil,Discordo parcialmente,Concordo
503,Difícil,Muito fácil,Discordo totalmente,Discordo parcialmente
504,Difícil,Muito difícil,Discordo totalmente,Não se aplica
505,Muito difícil,Muito difícil,Discordo,Concordo parcialmente
506,Médio,Difícil,Não sei responder,Discordo parcialmente
507,Difícil,Muito difícil,Não sei responder,Discordo parcialmente
508,Difícil,Fácil,Concordo totalmente,Concordo
509,Muito difícil,Muito difícil,Não sei responder,Não se aplica
510,Médio,Muito difícil,Concordo totalmente,Discordo totalmente
511,Muito difícil,Difícil,Concordo totalmente,Não se aplica
512,Difícil,Médio,Discordo,Não sei responder
513,Muito difícil,Muito difícil,Concordo,Discordo
514,Fácil,Fácil,Discordo,Discordo parcialmente
515,Muito fácil,Difícil,Concordo,Concordo
516,Muito fácil,Difícil,Discordo,Discordo parcialmente
517,Difícil,Muito difícil,Concordo parcialmente,Concordo totalmente
518,Muito difícil,Muito difícil,Não sei responder,Concordo
519,Difícil,Resposta anulada,Concordo,Discordo parcialmente
520,Muito difícil,Muito difícil,Discordo parcialmente,Discordo
521,Médio,Fácil,Concordo totalmente,Concordo parcialmente
522,Médio,Médio,Discordo totalmente,Concordo totalmente
523,Difícil,Resposta anulada,Não se aplica,Não se aplica
524,Fácil,Fácil,Discordo totalmente,Discordo
525,Médio,Médio,Concordo totalmente,Discordo
526,Difícil,Difícil,Concordo totalmente,Discordo
527,Difícil,Muito difícil,Concordo,Concordo totalmente
528,Muito difícil,Difícil,Discordo parcialmente,Concordo totalmente
529,Muito difícil,Muito difícil,Discordo parcialmente,Discordo totalmente
530,Médio,Fácil,Discordo,Não se aplica
531,Médio,Muito fácil,Discordo,Concordo parcialmente
532,Difícil,Médio,Discordo totalmente,Não sei responder
533,Difícil,Muito difícil,Discordo parcialmente,Discordo
534,Fácil,Médio,Discordo parcialmente,Não sei responder
535,Muito difícil,Difícil,Concordo,Concordo parcialmente
536,Difícil,Muito difícil,Concordo parcialmente,Concordo
537,Muito fácil,Médio,Concordo totalmente,Discordo totalmente
538,Difícil,Resposta anulada,Concordo totalmente,Concordo totalmente
539,Médio,Médio,Não sei responder,Discordo totalmente
540,Difícil,Muito difícil,Discordo parcialmente,Não sei responder
541,Muito difícil,Difícil,Discordo parcialmente,Concordo
542,Muito difícil,Difícil,Concordo,Concordo totalmente
543,Muito fácil,Fácil,Discordo parcialmente,Discordo
544,Muito difícil,Difícil,Não sei responder,Discordo parcialmente
545,Difícil,Médio,Concordo,Discordo
546,Resposta anulada,Resposta anulada,Não sei responder,Discordo
547,Muito fácil,Difícil,Concordo,Concordo totalmente
548,Muito fácil,Muito fácil,Concordo,Concordo parcialmente
549,Médio,Resposta anulada,Discordo,Discordo
550,Difícil,Difícil,Discordo parcialmente,Não sei responder
551,Médio,Difícil,Discordo totalmente,Concordo
552,Difícil,Médio,Não se aplica,Discordo parcialmente
553,Difícil,Médio,Concordo parcialmente,Não sei responder
554,Fácil,Muito difícil,Não sei responder,Não sei responder
555,Médio,Fácil,Concordo,Concordo parcialmente
556,Difícil,Médio,Concordo totalmente,Não sei responder
557,Fácil,Médio,Discordo,Não sei responder
558,Resposta anulada,Resposta anulada,Concordo totalmente,Discordo totalmente
559,Difícil,Muito difícil,Discordo totalmente,Discordo parcialmente
560,Médio,Difícil,Não se aplica,Discordo
561,Muito difícil,Difícil,Não sei responder,Discordo
562,Muito fácil,Muito fácil,Discordo parcialmente,Discordo parcialmente
563,Fácil,Difícil,Concordo,Concordo parcialmente
564,Muito fácil,Fácil,Concordo,Concordo
565,Fácil,Difícil,Concordo totalmente,Concordo
566,Fácil,Médio,Concordo parcialmente,Discordo parcialmente
567,Muito difícil,Muito difícil,Discordo totalmente,Não se aplica
568,Difícil,Muito difícil,Concordo,Não se aplica
569,Muito difícil,Muito difícil,Não se aplica,Concordo
570,Difícil,Difícil,Não se aplica,Discordo
571,Muito fácil,Fácil,Discordo,Concordo parcialmente
572,Difícil,Difícil,Não sei responder,Concordo parcialmente
573,Médio,Difícil,Discordo,Não se aplica
574,Muito difícil,Muito difícil,Concordo totalmente,Discordo
575,Difícil,Resposta anulada,Discordo,Discordo
576,Fácil,Médio,Discordo totalmente,Não se aplica
577,Difícil,Resposta anulada,Discordo totalmente,Discordo
578,Difícil,Difícil,Não sei responder,Discordo parcialmente
579,Muito fácil,Muito fácil,Concordo,Concordo totalmente
580,Fácil,Médio,Discordo parcialmente,Concordo parcialmente
581,Muito fácil,Médio,Não se aplica,Discordo parcialmente
582,Muito difícil,Fácil,Concordo totalmente,Não se aplica
583,Fácil,Difícil,Discordo parcialmente,Discordo
584,Muito fácil,Difícil,Concordo,Discordo
585,Fácil,Fácil,Concordo totalmente,Concordo
586,Fácil,Muito fácil,Discordo totalmente,Discordo
587,Fácil,Difícil,Concordo parcialmente,Concordo
588,Fácil,Fácil,Concordo totalmente,Não sei responder
589,Difícil,Fácil,Discordo parcialmente,Discordo
590,Muito fácil,Muito fácil,Concordo parcialmente,Concordo
591,Resposta anulada,Fácil,Discordo,Discordo
592,Difícil,Difícil,Concordo,Não sei responder
593,Fácil,Muito fácil,Concordo parcialmente,Concordo parcialmente
594,Médio,Muito fácil,Concordo parcialmente,Não sei responder
595,Muito difícil,Médio,Concordo parcialmente,Concordo totalmente
596,Difícil,Muito fácil,Não se aplica,Não se aplica
597,Muito fácil,Médio,Discordo,Discordo totalmente
598,Fácil,Fácil,Discordo parcialmente,Concordo
599,Fácil,Difícil,Concordo,Concordo
600,Muito difícil,Médio,Não sei responder,Discordo parcialmente
601,Muito fácil,Fácil,Concordo,Concordo parcialmente
602,Muito fácil,Muito fácil,Discordo parcialmente,Não se aplica
603,Fácil,Médio,Discordo parcialmente,Concordo totalmente
604,Difícil,Difícil,Concordo totalmente,Discordo parcialmente
605,Difícil,Fácil,Concordo parcialmente,Discordo
606,Muito difícil,Muito difícil,Discordo parcialmente,Não sei responder
607,Médio,Médio,Não se aplica,Discordo parcialmente
608,Muito difícil,Médio,Concordo parcialmente,Discordo parcialmente
609,Difícil,Muito difícil,Não sei responder,Não se aplica
610,Muito fácil,Resposta anulada,Discordo,Não se aplica
611,Muito fácil,Difícil,Discordo totalmente,Concordo
612,Muito difícil,Difícil,Concordo totalmente,Discordo parcialmente
613,Muito difícil,Médio,Não se aplica,Não se aplica
614,Médio,Fácil,Discordo,Discordo totalmente
615,Fácil,Médio,Discordo totalmente,Discordo
616,Muito difícil,Muito fácil,Concordo,Não sei responder
617,Médio,Difícil,Discordo totalmente,Não sei responder
618,Resposta anulada,Médio,Concordo,Discordo parcialmente
619,Muito fácil,Muito difícil,Discordo,Discordo parcialmente
620,Muito fácil,Muito difícil,Concordo,Concordo
621,Fácil,Médio,Discordo,Discordo parcialmente
622,Muito difícil,Muito difícil,Não se aplica,Discordo parcialmente
623,Difícil,Difícil,Concordo,Discordo
624,Muito fácil,Fácil,Discordo parcialmente,Discordo parcialmente
625,Fácil,Fácil,Concordo,Discordo parcialmente
626,Fácil,Fácil,Concordo totalmente,Discordo
627,Médio,Fácil,Concordo parcialmente,Discordo
628,Muito difícil,Fácil,Discordo totalmente,Discordo
629,Médio,Difícil,Concordo totalmente,Concordo parcialmente
630,Muito difícil,Difícil,Concordo parcialmente,Discordo totalmente
631,Difícil,Médio,Concordo,Não sei responder
632,Fácil,Muito fácil,Concordo,Concordo
633,Difícil,Resposta anulada,Concordo parcialmente,Concordo parcialmente
634,Fácil,Médio,Concordo,Não sei responder
635,Difícil,Muito fácil,Concordo parcialmente,Não sei responder
636,Muito fácil,Muito fácil,Discordo parcialmente,Discordo
637,Fácil,Muito difícil,Concordo parcialmente,Não se aplica
638,Médio,Muito difícil,Discordo,Concordo
639,Difícil,Muito difícil,Não se aplica,Discordo
640,Médio,Muito difícil,Discordo,Discordo parcialmente
641,Resposta anulada,Resposta anulada,Discordo parcialmente,Não se aplica
642,Médio,Fácil,Concordo,Concordo totalmente
643,Muito fácil,Muito fácil,Não sei responder,Não sei responder
644,Difícil,Muito difícil,Concordo totalmente,Discordo
645,Médio,Fácil,Concordo,Discordo totalmente
646,Difícil,Fácil,Discordo,Discordo
647,Médio,Fácil,Discordo parcialmente,Discordo totalmente
648,Muito difícil,Fácil,Discordo,Concordo
649,Muito fácil,Médio,Discordo parcialmente,Concordo
650,Fácil,Muito fácil,Discordo parcialmente,Concordo parcialmente
651,Médio,Muito difícil,Concordo parcialmente,Discordo
652,Muito difícil,Difícil,Concordo,Discordo totalmente
653,Médio,Fácil,Concordo,Discordo
654,Muito fácil,Muito fácil,Discordo totalmente,Discordo
655,Difícil,Muito fácil,Discordo parcialmente,Discordo parcialmente
656,Difícil,Fácil,Discordo,Discordo totalmente
657,Muito fácil,Médio,Discordo parcialmente,Concordo totalmente
658,Médio,Difícil,Concordo parcialmente,Discordo
659,Médio,Muito difícil,Concordo,Discordo parcialmente
660,Muito fácil,Muito difícil,Não se aplica,Não se aplica
661,Difícil,Difícil,Concordo parcialmente,Não sei responder
662,Muito difícil,Médio,Não se aplica,Não sei responder
663,Médio,Muito difícil,Concordo totalmente,Concordo
664,Fácil,Muito fácil,Discordo parcialmente,Discordo parcialmente
665,Muito difícil,Médio,Discordo,Concordo parcialmente
666,Médio,Difícil,Concordo parcialmente,Não sei responder
667,Difícil,Difícil,Discordo,Concordo parcialmente
668,Muito difícil,Muito difícil,Discordo,Não se aplica
669,Fácil,Resposta anulada,Discordo,Discordo parcialmente
670,Médio,Difícil,Não se aplica,Concordo parcialmente
671,Médio,Fácil,Não sei responder,Concordo totalmente
672,Resposta anulada,Resposta anulada,Concordo,Não se aplica
673,Fácil,Difícil,Concordo,Discordo totalmente
674,Muito difícil,Médio,Concordo totalmente,Discordo parcialmente
675,Fácil,Difícil,Concordo,Concordo totalmente
676,Fácil,Difícil,Não sei responder,Não sei responder
677,Muito difícil,Difícil,Discordo,Concordo
678,Muito difícil,Muito difícil,Não se aplica,Concordo parcialmente
679,Fácil,Médio,Concordo totalmente,Não sei responder
680,Resposta anulada,Resposta anulada,Concordo,Não sei responder
681,Médio,Difícil,Não se aplica,Concordo totalmente
682,Muito fácil,Fácil,Concordo parcialmente,Discordo parcialmente
683,Resposta anulada,Muito fácil,Discordo,Não se aplica
684,Médio,Muito difícil,Discordo totalmente,Concordo
685,Médio,Fácil,Concordo,Não se aplica
686,Resposta anulada,Resposta anulada,Discordo parcialmente,Concordo
687,Difícil,Muito fácil,Discordo,Discordo parcialmente
688,Muito fácil,Fácil,Discordo parcialmente,Concordo parcialmente
689,Difícil,Muito difícil,Não se aplica,Discordo parcialmente
690,Muito difícil,Fácil,Concordo parcialmente,Concordo
691,Fácil,Fácil,Concordo totalmente,Concordo parcialmente
692,Difícil,Médio,Concordo parcialmente,Discordo totalmente
693,Resposta anulada,Médio,Concordo,Concordo totalmente
694,Médio,Fácil,Concordo totalmente,Discordo parcialmente
695,Muito fácil,Difícil,Discordo parcialmente,Discordo parcialmente
696,Difícil,Muito difícil,Discordo,Concordo parcialmente
697,Médio,Muito difícil,Concordo,Concordo parcialmente
698,Fácil,Muito difícil,Discordo,Discordo parcialmente
699,Muito fácil,Médio,Concordo,Concordo parcialmente
700,Fácil,Fácil,Concordo parcialmente,Não sei responder
701,Resposta anulada,Resposta anulada,Não se aplica,Concordo parcialmente
702,Médio,Resposta anulada,Discordo parcialmente,Concordo parcialmente
703,Fácil,Muito difícil,Concordo totalmente,Concordo parcialmente
704,Difícil,Fácil,Concordo,Discordo
705,Difícil,Fácil,Concordo,Discordo parcialmente
706,Muito difícil,Médio,Discordo parcialmente,Concordo parcialmente
707,Fácil,Médio,Discordo parcialmente,Não se aplica
708,Médio,Resposta anulada,Concordo totalmente,Concordo totalmente
709,Muito difícil,Muito difícil,Concordo parcialmente,Não se aplica
710,Médio,Resposta anulada,Concordo totalmente,Concordo
711,Médio,Fácil,Concordo parcialmente,Concordo
712,Médio,Difícil,Não sei responder,Concordo totalmente
713,Muito difícil,Muito difícil,Concordo totalmente,Não se aplica
714,Muito difícil,Difícil,Discordo,Concordo parcialmente
715,Fácil,Fácil,Discordo parcialmente,Discordo
716,Difícil,Fácil,Discordo parcialmente,Concordo parcialmente
717,Fácil,Médio,Discordo totalmente,Concordo totalmente
718,Muito fácil,Fácil,Não sei responder,Não sei responder
719,Muito fácil,Muito fácil,Discordo,Concordo parcialmente
720,Resposta anulada,Resposta anulada,Concordo totalmente,Não sei responder
721,Médio,Fácil,Discordo parcialmente,Concordo
722,Difícil,Muito difícil,Concordo totalmente,Concordo
723,Muito difícil,Médio,Discordo totalmente,Não se aplica
724,Fácil,Muito difícil,Discordo parcialmente,Discordo
725,Muito difícil,Médio,Discordo,Não se aplica
726,Médio,Fácil,Concordo,Discordo parcialmente
727,Muito fácil,Fácil,Discordo totalmente,Não sei responder
728,Fácil,Muito difícil,Discordo totalmente,Discordo parcialmente
729,Difícil,Médio,Não sei responder,Discordo totalmente
730,Difícil,Muito difícil,Concordo parcialmente,Não se aplica
731,Fácil,Médio,Concordo parcialmente,Discordo
732,Muito fácil,Muito fácil,Concordo,Discordo parcialmente
733,Muito difícil,Médio,Concordo,Discordo totalmente
734,Muito difícil,Difícil,Discordo,Não se aplica
735,Muito difícil,Muito fácil,Discordo,Discordo parcialmente
736,Muito difícil,Médio,Concordo totalmente,Não se aplica
737,Muito fácil,Difícil,Discordo totalmente,Não se aplica
738,Muito difícil,Muito difícil,Concordo,Não sei responder
739,Difícil,Muito difícil,Concordo,Concordo parcialmente
740,Fácil,Médio,Concordo,Discordo
741,Resposta anulada,Médio,Discordo,Discordo totalmente
742,Fácil,Muito fácil,Não se aplica,Não se aplica
743,Médio,Resposta anulada,Concordo parcialmente,Concordo totalmente
744,Médio,Muito fácil,Discordo parcialmente,Discordo parcialmente
745,Difícil,Muito difícil,Concordo,Discordo
746,Resposta anulada,Fácil,Concordo,Concordo
747,Resposta anulada,Muito difícil,Concordo,Discordo parcialmente
748,Muito fácil,Médio,Concordo parcialmente,Concordo parcialmente
749,Difícil,Médio,Não sei responder,Discordo parcialmente
750,Muito difícil,Médio,Concordo,Concordo totalmente
751,Muito difícil,Médio,Discordo totalmente,Concordo parcialmente
752,Muito difícil,Difícil,Não se aplica,Concordo parcialmente
753,Médio,Muito fácil,Discordo,Discordo
754,Difícil,Médio,Discordo,Concordo totalmente
755,Fácil,Muito fácil,Concordo totalmente,Discordo parcialmente
756,Difícil,Muito fácil,Concordo parcialmente,Concordo parcialmente
757,Fácil,Médio,Concordo totalmente,Discordo totalmente
758,Fácil,Difícil,Discordo totalmente,Concordo parcialmente
759,Médio,Fácil,Concordo parcialmente,Não sei responder
760,Fácil,Médio,Concordo,Não se aplica
761,Difícil,Médio,Não se aplica,Discordo
762,Fácil,Resposta anulada,Discordo parcialmente,Discordo parcialmente
763,Muito difícil,Médio,Discordo totalmente,Concordo
764,Muito fácil,Fácil,Discordo totalmente,Discordo
765,Médio,Difícil,Discordo parcialmente,Não se aplica
766,Resposta anulada,Médio,Concordo parcialmente,Concordo parcialmente
767,Muito fácil,Médio,Concordo parcialmente,Concordo
768,Difícil,Médio,Não se aplica,Concordo parcialmente
769,Médio,Muito fácil,Concordo,Concordo
770,Fácil,Difícil,Discordo parcialmente,Discordo totalmente
771,Muito fácil,Muito difícil,Concordo parcialmente,Concordo parcialmente
772,Difícil,Muito fácil,Não se aplica,Concordo parcialmente
773,Fácil,Médio,Concordo,Discordo parcialmente
774,Difícil,Muito difícil,Concordo parcialmente,Discordo
775,Médio,Muito difícil,Não sei responder,Não se aplica
776,Difícil,Médio,Não se aplica,Não sei responder
777,Difícil,Médio,Discordo,Concordo
778,Muito fácil,Fácil,Concordo,Não sei responder
779,Difícil,Muito fácil,Concordo,Concordo totalmente
780,Fácil,Fácil,Discordo totalmente,Não se aplica
781,Muito difícil,Médio,Discordo parcialmente,Discordo totalmente
782,Difícil,Fácil,Concordo parcialmente,Concordo parcialmente
783,Difícil,Muito difícil,Discordo parcialmente,Não se aplica
784,Muito fácil,Muito fácil,Não se aplica,Discordo totalmente
785,Fácil,Muito difícil,Concordo,Concordo parcialmente
786,Difícil,Muito difícil,Discordo,Não se aplica
787,Fácil,Difícil,Concordo,Não se aplica
788,Difícil,Difícil,Não sei responder,Concordo totalmente
789,Médio,Muito fácil,Concordo totalmente,Concordo totalmente
790,Fácil,Fácil,Discordo parcialmente,Não se aplica
791,Difícil,Fácil,Concordo,Não se aplica
792,Muito difícil,Médio,Não sei responder,Concordo parcialmente
793,Fácil,Muito difícil,Concordo totalmente,Concordo totalmente
794,Fácil,Difícil,Concordo,Não sei responder
795,Médio,Muito fácil,Concordo,Concordo totalmente
796,Médio,Fácil,Discordo parcialmente,Não se aplica
797,Muito fácil,Médio,Concordo parcialmente,Discordo
798,Muito difícil,Muito fácil,Discordo parcialmente,Concordo parcialmente
799,Médio,Difícil,Não se aplica,Não sei responder
800,Muito difícil,Muito fácil,Concordo parcialmente,Discordo parcialmente
801,Resposta anulada,Resposta anulada,Não se aplica,Concordo
802,Muito fácil,Muito fácil,Discordo,Discordo parcialmente
803,Muito fácil,Médio,Não sei responder,Discordo totalmente
804,Muito fácil,Difícil,Discordo parcialmente,Discordo
805,Médio,Muito difícil,Discordo totalmente,Concordo parcialmente
806,Fácil,Difícil,Concordo,Discordo parcialmente
807,Fácil,Difícil,Discordo,Discordo parcialmente
808,Médio,Resposta anulada,Concordo parcialmente,Discordo parcialmente
809,Difícil,Fácil,Concordo parcialmente,Discordo parcialmente
810,Fácil,Difícil,Discordo,Não se aplica
811,Difícil,Médio,Discordo totalmente,Concordo
812,Médio,Muito difícil,Concordo totalmente,Não se aplica
813,Muito fácil,Muito fácil,Discordo parcialmente,Não sei responder
814,Médio,Muito difícil,Não se aplica,Concordo parcialmente
815,Muito fácil,Médio,Concordo totalmente,Concordo parcialmente
816,Difícil,Difícil,Concordo,Discordo totalmente
817,Muito difícil,Fácil,Discordo parcialmente,Discordo parcialmente
818,Muito fácil,Fácil,Discordo parcialmente,Não sei responder
819,Muito fácil,Resposta anulada,Discordo parcialmente,Discordo parcialmente
820,Muito difícil,Médio,Concordo totalmente,Não sei responder
821,Médio,Muito fácil,Discordo totalmente,Discordo
822,Médio,Muito difícil,Discordo,Discordo totalmente
823,Muito difícil,Difícil,Concordo totalmente,Concordo
824,Fácil,Fácil,Discordo,Concordo
825,Fácil,Fácil,Concordo parcialmente,Discordo
826,Médio,Difícil,Não se aplica,Discordo totalmente
827,Difícil,Difícil,Não sei responder,Discordo
828,Fácil,Difícil,Concordo parcialmente,Não se aplica
829,Médio,Muito difícil,Concordo totalmente,Não sei responder
830,Médio,Resposta anulada,Discordo parcialmente,Discordo parcialmente
831,Muito fácil,Difícil,Concordo parcialmente,Concordo parcialmente
832,Muito difícil,Resposta anulada,Concordo parcialmente,Discordo parcialmente
833,Muito fácil,Médio,Discordo totalmente,Discordo
834,Resposta anulada,Médio,Não se aplica,Não se aplica
835,Resposta anulada,Difícil,Discordo,Discordo
836,Fácil,Médio,Concordo parcialmente,Discordo totalmente
837,Médio,Difícil,Concordo totalmente,Não sei responder
838,Difícil,Difícil,Não se aplica,Não sei responder
839,Difícil,Médio,Não sei responder,Concordo totalmente
840,Muito difícil,Muito difícil,Concordo,Não se aplica
841,Muito fácil,Fácil,Concordo parcialmente,Concordo totalmente
842,Resposta anulada,Resposta anulada,Discordo parcialmente,Não sei responder
843,Fácil,Difícil,Concordo,Discordo
844,Fácil,Fácil,Concordo parcialmente,Concordo
845,Médio,Fácil,Concordo totalmente,Não sei responder
846,Médio,Muito difícil,Concordo parcialmente,Não se aplica
847,Muito difícil,Fácil,Concordo parcialmente,Discordo
848,Fácil,Fácil,Concordo parcialmente,Discordo parcialmente
849,Fácil,Fácil,Discordo parcialmente,Não sei responder
850,Difícil,Muito difícil,Discordo parcialmente,Concordo
851,Médio,Muito fácil,Não sei responder,Não sei responder
852,Muito difícil,Resposta anulada,Concordo parcialmente,Concordo parcialmente
853,Muito difícil,Resposta anulada,Não sei responder,Não sei responder
854,Médio,Fácil,Não se aplica,Discordo
855,Fácil,Fácil,Discordo,Concordo parcialmente
856,Muito difícil,Muito difícil,Discordo,Concordo totalmente
857,Muito difícil,Difícil,Concordo totalmente,Concordo parcialmente
858,Muito difícil,Muito difícil,Não se aplica,Discordo
859,Muito fácil,Fácil,Discordo,Discordo totalmente
860,Muito difícil,Muito difícil,Não se aplica,Discordo totalmente
861,Difícil,Médio,Discordo parcialmente,Não sei responder
862,Médio,Difícil,Não se aplica,Concordo
863,Médio,Fácil,Concordo totalmente,Não se aplica
864,Muito fácil,Médio,Discordo parcialmente,Discordo
865,Médio,Fácil,Discordo parcialmente,Não sei responder
866,Fácil,Difícil,Concordo parcialmente,Concordo totalmente
867,Médio,Fácil,Concordo parcialmente,Não se aplica
868,Médio,Muito fácil,Concordo parcialmente,Concordo parcialmente
869,Muito fácil,Muito fácil,Discordo,Concordo
870,Muito difícil,Fácil,Concordo,Discordo
871,Difícil,Difícil,Discordo,Concordo totalmente
872,Muito fácil,Difícil,Concordo parcialmente,Não se aplica
873,Muito fácil,Resposta anulada,Concordo totalmente,Concordo totalmente
874,Médio,Muito difícil,Não sei responder,Discordo
875,Médio,Muito fácil,Concordo parcialmente,Discordo parcialmente
876,Fácil,Muito fácil,Não sei responder,Não sei responder
877,Fácil,Fácil,Discordo totalmente,Concordo parcialmente
878,Muito difícil,Muito fácil,Concordo,Concordo
879,Fácil,Muito fácil,Concordo parcialmente,Discordo parcialmente
880,Médio,Difícil,Não sei responder,Concordo parcialmente
881,Médio,Fácil,Não se aplica,Concordo parcialmente
882,Resposta anulada,Fácil,Discordo parcialmente,Concordo parcialmente
883,Difícil,Resposta anulada,Discordo totalmente,Concordo
884,Difícil,Fácil,Concordo totalmente,Não sei responder
885,Médio,Muito difícil,Não se aplica,Concordo
886,Fácil,Difícil,Discordo,Concordo parcialmente
887,Fácil,Médio,Concordo parcialmente,Não se aplica
888,Fácil,Médio,Discordo totalmente,Concordo parcialmente
889,Fácil,Fácil,Concordo parcialmente,Concordo totalmente
890,Médio,Difícil,Não se aplica,Discordo parcialmente
891,Médio,Muito fácil,Discordo parcialmente,Concordo
892,Muito fácil,Fácil,Discordo totalmente,Discordo parcialmente
893,Fácil,Muito fácil,Concordo parcialmente,Não se aplica
894,Muito fácil,Muito difícil,Discordo parcialmente,Concordo parcialmente
895,Médio,Fácil,Concordo totalmente,Discordo
896,Resposta anulada,Resposta anulada,Não se aplica,Discordo parcialmente
897,Muito fácil,Fácil,Concordo,Não se aplica
898,Difícil,Fácil,Não sei responder,Não sei responder
899,Fácil,Fácil,Discordo parcialmente,Concordo parcialmente
900,Muito fácil,Muito difícil,Concordo,Concordo parcialmente
901,Muito fácil,Difícil,Concordo,Concordo parcialmente
902,Difícil,Difícil,Não se aplica,Concordo
903,Médio,Muito fácil,Discordo parcialmente,Concordo parcialmente
904,Fácil,Médio,Discordo parcialmente,Discordo totalmente
905,Muito difícil,Médio,Não sei responder,Não sei responder
906,Muito fácil,Médio,Concordo,Não sei responder
907,Muito fácil,Muito fácil,Concordo parcialmente,Não sei responder
908,Médio,Muito difícil,Concordo,Concordo totalmente
909,Muito difícil,Muito difícil,Concordo totalmente,Discordo parcialmente
910,Fácil,Fácil,Discordo parcialmente,Discordo totalmente
911,Fácil,Resposta anulada,Concordo,Concordo parcialmente
912,Médio,Resposta anulada,Concordo,Concordo
913,Muito difícil,Médio,Concordo parcialmente,Concordo
914,Fácil,Fácil,Concordo,Concordo parcialmente
915,Muito fácil,Fácil,Concordo totalmente,Concordo parcialmente
916,Médio,Resposta anulada,Discordo totalmente,Discordo parcialmente
917,Muito difícil,Difícil,Não sei responder,Não se aplica
918,Fácil,Médio,Concordo parcialmente,Concordo totalmente
919,Médio,Muito difícil,Discordo parcialmente,Concordo parcialmente
920,Muito difícil,Muito difícil,Discordo totalmente,Concordo totalmente
921,Resposta anulada,Resposta anulada,Não sei responder,Concordo
922,Muito fácil,Difícil,Não se aplica,Discordo
923,Muito fácil,Médio,Discordo parcialmente,Concordo parcialmente
924,Fácil,Médio,Discordo,Concordo parcialmente
925,Resposta anulada,Médio,Discordo,Discordo
926,Médio,Muito difícil,Discordo totalmente,Discordo
927,Fácil,Muito fácil,Concordo totalmente,Não se aplica
928,Fácil,Muito fácil,Concordo totalmente,Concordo totalmente
929,Muito difícil,Fácil,Não se aplica,Discordo parcialmente
930,Médio,Resposta anulada,Discordo totalmente,Discordo
931,Fácil,Muito fácil,Concordo totalmente,Concordo parcialmente
932,Difícil,Médio,Não sei responder,Concordo
933,Médio,Resposta anulada,Concordo parcialmente,Discordo
934,Médio,Fácil,Não se aplica,Discordo totalmente
935,Médio,Médio,Não se aplica,Concordo totalmente
936,Muito difícil,Muito fácil,Concordo parcialmente,Concordo parcialmente
937,Muito fácil,Fácil,Concordo parcialmente,Concordo
938,Muito fácil,Médio,Discordo,Concordo parcialmente
939,Fácil,Médio,Discordo,Não se aplica
940,Fácil,Difícil,Concordo totalmente,Concordo parcialmente
941,Difícil,Resposta anulada,Não sei responder,Não sei responder
942,Resposta anulada,Médio,Concordo totalmente,Concordo totalmente
943,Fácil,Fácil,Não sei responder,Discordo parcialmente
944,Fácil,Muito fácil,Concordo,Concordo totalmente
945,Fácil,Muito difícil,Discordo totalmente,Discordo
946,Muito fácil,Muito difícil,Concordo,Não se aplica
947,Resposta anulada,Muito fácil,Discordo,Discordo
948,Muito fácil,Muito difícil,Concordo,Discordo parcialmente
949,Muito fácil,Médio,Discordo totalmente,Concordo
950,Fácil,Médio,Não sei responder,Concordo parcialmente
951,Médio,Muito difícil,Discordo,Concordo parcialmente
952,Difícil,Fácil,Discordo,Discordo parcialmente
953,Muito difícil,Difícil,Concordo,Discordo parcialmente
954,Fácil,Médio,Não sei responder,Discordo parcialmente
955,Muito fácil,Médio,Concordo parcialmente,Discordo parcialmente
956,Resposta anulada,Fácil,Concordo parcialmente,Discordo
957,Muito fácil,Fácil,Discordo totalmente,Não se aplica
958,Muito difícil,Difícil,Discordo parcialmente,Não se aplica
959,Fácil,Muito difícil,Discordo parcialmente,Discordo parcialmente
960,Médio,Muito fácil,Concordo parcialmente,Discordo
961,Fácil,Difícil,Concordo totalmente,Discordo parcialmente
962,Médio,Muito fácil,Discordo,Discordo totalmente
963,Difícil,Muito fácil,Concordo,Concordo parcialmente
